Caso,Primer Mejor,Mejor
MDG-a_10_n500_m50,4933,22500
MDG-a_1_n500_m50,3533,19800
MDG-a_2_n500_m50,2664,22050
MDG-a_3_n500_m50,1522,22050
MDG-a_4_n500_m50,1843,24300
MDG-a_5_n500_m50,1869,16200
MDG-a_6_n500_m50,2330,16650
MDG-a_7_n500_m50,2776,22950
MDG-a_8_n500_m50,3439,17100
MDG-a_9_n500_m50,2246,20700
MDG-b_21_n2000_m200,29153,100800
MDG-b_22_n2000_m200,23745,100800
MDG-b_23_n2000_m200,28631,100800
MDG-b_24_n2000_m200,30061,100800
MDG-b_25_n2000_m200,22374,100800
MDG-b_26_n2000_m200,40168,100800
MDG-b_27_n2000_m200,31362,100800
MDG-b_28_n2000_m200,15585,100800
MDG-b_29_n2000_m200,25351,100800
MDG-b_30_n2000_m200,19936,100800
MDG-c_10_n3000_m400,34032,101400
MDG-c_13_n3000_m500,27872,100000
MDG-c_14_n3000_m500,47459,100000
MDG-c_15_n3000_m500,79989,100000
MDG-c_19_n3000_m600,34607,100800
MDG-c_1_n3000_m300,58816,102600
MDG-c_20_n3000_m600,44010,100800
MDG-c_2_n3000_m300,63615,102600
MDG-c_8_n3000_m400,60814,101400
MDG-c_9_n3000_m400,51098,101400
