Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7610.42,2.85,0.001375
MDG-a_2_n500_m50,7574.39,2.54,0.001293
MDG-a_3_n500_m50,7535.96,2.88,0.001304
MDG-a_4_n500_m50,7551.52,2.81,0.001281
MDG-a_5_n500_m50,7540.14,2.77,0.001284
MDG-a_6_n500_m50,7623.65,1.93,0.001278
MDG-a_7_n500_m50,7594.62,2.28,0.0014
MDG-a_8_n500_m50,7625.94,1.61,0.001367
MDG-a_9_n500_m50,7547.25,2.87,0.001351
MDG-a_10_n500_m50,7642.27,1.77,0.001893
MDG-b_21_n2000_m200,11099332.620328,1.77,0.319017
MDG-b_22_n2000_m200,11149879.733826,1.21,0.313017
MDG-b_23_n2000_m200,11119613.974858,1.6,0.303374
MDG-b_24_n2000_m200,11106996.970212,1.63,0.311278
MDG-b_25_n2000_m200,11114220.292214,1.61,0.306411
MDG-b_26_n2000_m200,11132801.799043,1.41,0.306542
MDG-b_27_n2000_m200,11130608.965587,1.55,0.310595
MDG-b_28_n2000_m200,11110673.520354,1.5,0.318429
MDG-b_29_n2000_m200,11156328.082493,1.25,0.306362
MDG-b_30_n2000_m200,11109767.818822,1.65,0.296905
MDG-c_1_n3000_m300,24617010,1.07,1.501668
MDG-c_2_n3000_m300,24547293,1.44,1.464132
MDG-c_8_n3000_m400,43056071,0.88,2.546235
MDG-c_9_n3000_m400,42958639,1.1,2.569214
MDG-c_10_n3000_m400,42959794,1.19,2.566065
MDG-c_13_n3000_m500,66493045,0.78,3.67213
MDG-c_14_n3000_m500,66449858,0.79,3.767131
MDG-c_15_n3000_m500,66468837,0.78,3.78725
MDG-c_19_n3000_m600,94929882,0.74,5.183856
MDG-c_20_n3000_m600,94979205,0.69,5.582157
