Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7623.23,2.69,0.001809
MDG-a_2_n500_m50,7590.18,2.34,0.001391
MDG-a_3_n500_m50,7544.94,2.76,0.001204
MDG-a_4_n500_m50,7576.44,2.49,0.0012
MDG-a_5_n500_m50,7484.27,3.49,0.001308
MDG-a_6_n500_m50,7570.96,2.61,0.001297
MDG-a_7_n500_m50,7654.98,1.5,0.001608
MDG-a_8_n500_m50,7623.78,1.64,0.002379
MDG-a_9_n500_m50,7612.74,2.02,0.001494
MDG-a_10_n500_m50,7619.52,2.07,0.001959
MDG-b_21_n2000_m200,11181874.0007,1.04,0.099777
MDG-b_22_n2000_m200,11167876.184,1.05,0.092492
MDG-b_23_n2000_m200,11176568.0611,1.09,0.107634
MDG-b_24_n2000_m200,11188223.318,0.91,0.107425
MDG-b_25_n2000_m200,11181859.8196,1.01,0.090053
MDG-b_26_n2000_m200,11193478.832,0.88,0.122694
MDG-b_27_n2000_m200,11211629.6839,0.83,0.112468
MDG-b_28_n2000_m200,11151089.4629,1.14,0.079449
MDG-b_29_n2000_m200,11183039.6644,1.01,0.09833
MDG-b_30_n2000_m200,11159590.8213,1.21,0.090033
MDG-c_1_n3000_m300,24729057,0.62,0.601221
MDG-c_2_n3000_m300,24738675,0.67,0.584432
MDG-c_8_n3000_m400,43200330,0.55,1.264437
MDG-c_9_n3000_m400,43157977,0.64,1.241837
MDG-c_10_n3000_m400,43188306,0.66,1.195051
MDG-c_13_n3000_m500,66636142,0.56,2.304507
MDG-c_14_n3000_m500,66727635,0.38,2.430114
MDG-c_15_n3000_m500,66808383,0.28,2.78715
MDG-c_19_n3000_m600,95244690,0.41,3.572005
MDG-c_20_n3000_m600,95324379,0.33,3.598978
