File,Diversity,Time
MDG-a_10_n500_m50,7619.52,0.001959
MDG-a_1_n500_m50,7623.23,0.001809
MDG-a_2_n500_m50,7590.18,0.001391
MDG-a_3_n500_m50,7544.94,0.001204
MDG-a_4_n500_m50,7576.44,0.0012
MDG-a_5_n500_m50,7484.27,0.001308
MDG-a_6_n500_m50,7570.96,0.001297
MDG-a_7_n500_m50,7654.98,0.001608
MDG-a_8_n500_m50,7623.78,0.002379
MDG-a_9_n500_m50,7612.74,0.001494
MDG-b_21_n2000_m200,11181874.000692,0.099777
MDG-b_22_n2000_m200,11167876.183981,0.092492
MDG-b_23_n2000_m200,11176568.061127,0.107634
MDG-b_24_n2000_m200,11188223.318036,0.107425
MDG-b_25_n2000_m200,11181859.819566,0.090053
MDG-b_26_n2000_m200,11193478.83201,0.122694
MDG-b_27_n2000_m200,11211629.683932,0.112468
MDG-b_28_n2000_m200,11151089.46292,0.079449
MDG-b_29_n2000_m200,11183039.664424,0.09833
MDG-b_30_n2000_m200,11159590.821281,0.090033
MDG-c_10_n3000_m400,43188306,1.195051
MDG-c_13_n3000_m500,66636142,2.304507
MDG-c_14_n3000_m500,66727635,2.430114
MDG-c_15_n3000_m500,66808383,2.78715
MDG-c_19_n3000_m600,95244690,3.572005
MDG-c_1_n3000_m300,24729057,0.601221
MDG-c_20_n3000_m600,95324379,3.598978
MDG-c_2_n3000_m300,24738675,0.584432
MDG-c_8_n3000_m400,43200330,1.264437
MDG-c_9_n3000_m400,43157977,1.241837
