Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7605.85,2.91,0.001692
MDG-a_2_n500_m50,7650.91,1.55,0.001909
MDG-a_3_n500_m50,7627.05,1.71,0.001872
MDG-a_4_n500_m50,7628.28,1.83,0.00212
MDG-a_5_n500_m50,7443.78,4.02,0.001392
MDG-a_6_n500_m50,7519.01,3.28,0.001522
MDG-a_7_n500_m50,7602.72,2.17,0.002021
MDG-a_8_n500_m50,7527.51,2.88,0.001499
MDG-a_9_n500_m50,7605.79,2.11,0.001788
MDG-a_10_n500_m50,7625.84,1.99,0.001925
MDG-b_21_n2000_m200,10704537.121824,5.27,0.167474
MDG-b_22_n2000_m200,10729825.979899,4.93,0.157267
MDG-b_23_n2000_m200,10747061.106059,4.89,0.158778
MDG-b_24_n2000_m200,10697650.091284,5.25,0.154234
MDG-b_25_n2000_m200,10722432.780205,5.08,0.151428
MDG-b_26_n2000_m200,10712851.622844,5.13,0.151654
MDG-b_27_n2000_m200,10697966.587231,5.38,0.159407
MDG-b_28_n2000_m200,10704037.524274,5.11,0.16044
MDG-b_29_n2000_m200,10696542.050433,5.32,0.156025
MDG-b_30_n2000_m200,10687418.268475,5.39,0.16345
MDG-c_1_n3000_m300,23280092,6.45,0.391262
MDG-c_2_n3000_m300,23190732,6.88,0.384945
MDG-c_8_n3000_m400,40935884,5.76,0.504655
MDG-c_9_n3000_m400,40828623,6.01,0.509323
MDG-c_10_n3000_m400,40765886,6.23,0.501521
MDG-c_13_n3000_m500,63608646,5.08,0.607681
MDG-c_14_n3000_m500,63545017,5.13,0.604924
MDG-c_15_n3000_m500,63532837,5.16,0.583044
MDG-c_19_n3000_m600,91101174,4.74,0.712232
MDG-c_20_n3000_m600,91289378,4.55,0.718865
