File,Diversity,Time
MDG-a_10_n500_m50,7625.84,0.001932
MDG-a_1_n500_m50,7605.85,0.001625
MDG-a_2_n500_m50,7650.91,0.001816
MDG-a_3_n500_m50,7627.05,0.001806
MDG-a_4_n500_m50,7628.28,0.001896
MDG-a_5_n500_m50,7443.78,0.001291
MDG-a_6_n500_m50,7519.01,0.001317
MDG-a_7_n500_m50,7602.72,0.001892
MDG-a_8_n500_m50,7527.51,0.001354
MDG-a_9_n500_m50,7605.79,0.001631
MDG-b_21_n2000_m200,11180058.750775,0.677438
MDG-b_22_n2000_m200,11155314.466742,0.555748
MDG-b_23_n2000_m200,11108124.604139,0.496808
MDG-b_24_n2000_m200,11153820.029699,0.542795
MDG-b_25_n2000_m200,11171185.53995,0.597482
MDG-b_26_n2000_m200,11188729.123865,0.634261
MDG-b_27_n2000_m200,11114584.701586,0.499422
MDG-b_28_n2000_m200,11179532.969364,0.610616
MDG-b_29_n2000_m200,11149615.9197,0.62679
MDG-b_30_n2000_m200,11157311.470229,0.588087
MDG-c_10_n3000_m400,42989641.0,4.425393
MDG-c_13_n3000_m500,66766340.0,8.536604
MDG-c_14_n3000_m500,66628488.0,7.471225
MDG-c_15_n3000_m500,66715761.0,7.363534
MDG-c_19_n3000_m600,95226472.0,9.204225
MDG-c_1_n3000_m300,24736454.0,3.828034
MDG-c_20_n3000_m600,95271298.0,9.370968
MDG-c_2_n3000_m300,24675066.0,3.003777
MDG-c_8_n3000_m400,43243999.0,5.740351
MDG-c_9_n3000_m400,43163449.0,6.146966
