File,Diversity,Time
MDG-a_1_n500_m50,7630.32,2.568322
MDG-a_2_n500_m50,7617.84,2.48063
MDG-a_3_n500_m50,7523.96,2.406453
MDG-a_4_n500_m50,7524.55,2.430252
MDG-a_5_n500_m50,7508.57,2.513196
MDG-a_6_n500_m50,7433.53,2.459326
MDG-a_7_n500_m50,7436.8,2.488605
MDG-a_8_n500_m50,7579.82,2.427736
MDG-a_9_n500_m50,7523.95,2.505691
MDG-a_10_n500_m50,7551.59,2.477021
MDG-b_21_n2000_m200,11016868.647627,53.863597
MDG-b_22_n2000_m200,10965268.26183,53.163012
MDG-b_23_n2000_m200,10985292.576434,55.23858
MDG-b_24_n2000_m200,10973938.667552,53.409425
MDG-b_25_n2000_m200,11024482.4129,55.21105
MDG-b_26_n2000_m200,11015041.775978,52.895167
MDG-b_27_n2000_m200,11025290.694747,53.864108
MDG-b_28_n2000_m200,10994487.896514,52.163433
MDG-b_29_n2000_m200,11029608.20268,51.559493
MDG-b_30_n2000_m200,10985440.106377,62.024822
MDG-c_1_n3000_m300,24273801.0,158.523366
MDG-c_2_n3000_m300,24320999.0,163.258443
MDG-c_8_n3000_m400,42575351.0,166.882203
MDG-c_9_n3000_m400,42556061.0,199.518264
MDG-c_10_n3000_m400,42540990.0,205.83871
MDG-c_13_n3000_m500,65848860.0,260.747732
MDG-c_14_n3000_m500,65828238.0,244.365974
MDG-c_15_n3000_m500,65940250.0,211.057125
MDG-c_19_n3000_m600,94151430.0,303.543856
MDG-c_20_n3000_m600,94197318.0,342.406972
