File,Diversity,Time
MDG-a_1_n500_m50,7699.87,1.935585
MDG-a_2_n500_m50,7577.32,1.79422
MDG-a_3_n500_m50,7539.43,1.799771
MDG-a_4_n500_m50,7527.6,1.755444
MDG-a_5_n500_m50,7492.01,1.743837
MDG-a_6_n500_m50,7604.02,1.792661
MDG-a_7_n500_m50,7509.91,1.791742
MDG-a_8_n500_m50,7564.46,1.74758
MDG-a_9_n500_m50,7567.89,1.818509
MDG-a_10_n500_m50,7579.83,1.940848
MDG-b_21_n2000_m200,11096803.204221,28.572898
MDG-b_22_n2000_m200,11066582.864213,30.746676
MDG-b_23_n2000_m200,11103929.892324,28.877216
MDG-b_24_n2000_m200,11108833.598636,29.766053
MDG-b_25_n2000_m200,11089928.650404,30.116922
MDG-b_26_n2000_m200,11072601.605505,28.99646
MDG-b_27_n2000_m200,11098217.011779,31.245306
MDG-b_28_n2000_m200,11091400.95864,31.786776
MDG-b_29_n2000_m200,11056917.76965,29.736697
MDG-b_30_n2000_m200,11098912.065773,31.97064
MDG-c_1_n3000_m300,24515388.0,98.19262
MDG-c_2_n3000_m300,24514080.0,94.704585
MDG-c_8_n3000_m400,42758112.0,136.57157
MDG-c_9_n3000_m400,42837534.0,134.870618
MDG-c_10_n3000_m400,42870141.0,139.704011
MDG-c_13_n3000_m500,66172152.0,180.704192
MDG-c_14_n3000_m500,66320235.0,170.5091
MDG-c_15_n3000_m500,66331255.0,175.780283
MDG-c_19_n3000_m600,94735806.0,214.486399
MDG-c_20_n3000_m600,94753449.0,220.617744
