File,Diversity,Time
MDG-a_1_n500_m50,7437.83,1.758563
MDG-a_2_n500_m50,7555.14,1.733497
MDG-a_3_n500_m50,7528.31,1.730857
MDG-a_4_n500_m50,7521.62,1.713813
MDG-a_5_n500_m50,7502.04,1.775486
MDG-a_6_n500_m50,7499.39,1.74597
MDG-a_7_n500_m50,7417.9,1.754423
MDG-a_8_n500_m50,7534.75,1.728202
MDG-a_9_n500_m50,7546.63,1.810684
MDG-a_10_n500_m50,7504.81,1.840636
MDG-b_21_n2000_m200,10954821.307827,27.44327
MDG-b_22_n2000_m200,10955319.183875,27.216966
MDG-b_23_n2000_m200,10948053.251393,27.030861
MDG-b_24_n2000_m200,10953621.601489,26.733799
MDG-b_25_n2000_m200,11017376.33515,26.953982
MDG-b_26_n2000_m200,10979334.242285,27.017026
MDG-b_27_n2000_m200,10946732.893372,27.249396
MDG-b_28_n2000_m200,10972057.541518,27.457878
MDG-b_29_n2000_m200,10927803.23655,27.089318
MDG-b_30_n2000_m200,10920696.351646,27.141144
MDG-c_1_n3000_m300,24206268.0,91.409642
MDG-c_2_n3000_m300,24212105.0,90.048259
MDG-c_8_n3000_m400,42484705.0,138.173219
MDG-c_9_n3000_m400,42460517.0,135.719566
MDG-c_10_n3000_m400,42321154.0,138.187426
MDG-c_13_n3000_m500,65719447.0,176.664507
MDG-c_14_n3000_m500,65746280.0,181.928126
MDG-c_15_n3000_m500,65708213.0,179.261589
MDG-c_19_n3000_m600,93937572.0,230.931364
MDG-c_20_n3000_m600,93972695.0,203.698882
