File,Diversity,Time
MDG-a_1_n500_m50,7707.95,1.507122
MDG-a_2_n500_m50,7637.49,1.576637
MDG-a_3_n500_m50,7606.73,1.550323
MDG-a_4_n500_m50,7572.09,1.550625
MDG-a_5_n500_m50,7570.22,1.673717
MDG-a_6_n500_m50,7537.01,1.787315
MDG-a_7_n500_m50,7635.48,1.706824
MDG-a_8_n500_m50,7560.33,1.641832
MDG-a_9_n500_m50,7619.83,1.760856
MDG-a_10_n500_m50,7559.2,1.53715
MDG-b_21_n2000_m200,11109007.30625,46.042888
MDG-b_22_n2000_m200,11127970.859774,44.18606
MDG-b_23_n2000_m200,11115311.368301,47.761088
MDG-b_24_n2000_m200,11084757.488591,44.99247
MDG-b_25_n2000_m200,11151730.500014,44.507029
MDG-b_26_n2000_m200,11107252.896138,43.24695
MDG-b_27_n2000_m200,11145271.492683,44.821617
MDG-b_28_n2000_m200,11110730.645823,41.262661
MDG-b_29_n2000_m200,11102882.664316,42.199835
MDG-b_30_n2000_m200,11102836.178247,42.125552
MDG-c_1_n3000_m300,24572638.0,154.686817
MDG-c_2_n3000_m300,24580342.0,148.76494
MDG-c_8_n3000_m400,42954683.0,225.022608
MDG-c_9_n3000_m400,42965823.0,220.485972
MDG-c_10_n3000_m400,42946687.0,219.036021
MDG-c_13_n3000_m500,66290964.0,274.769926
MDG-c_14_n3000_m500,66271219.0,270.767957
MDG-c_15_n3000_m500,66385959.0,280.771335
MDG-c_19_n3000_m600,94755450.0,324.068452
MDG-c_20_n3000_m600,94732624.0,323.375285
