File,Diversity,Time
MDG-a_1_n500_m50,7637.16,0.414972
MDG-a_2_n500_m50,7724.21,0.41606
MDG-a_3_n500_m50,7650.23,0.411984
MDG-a_4_n500_m50,7619.15,0.431361
MDG-a_5_n500_m50,7683.11,0.415595
MDG-a_6_n500_m50,7606.02,0.406575
MDG-a_7_n500_m50,7671.13,0.407201
MDG-a_8_n500_m50,7640.97,0.417129
MDG-a_9_n500_m50,7623.97,0.392046
MDG-a_10_n500_m50,7609.15,0.387585
MDG-b_21_n2000_m200,11132452.586865,19.528066
MDG-b_22_n2000_m200,11189058.525244,23.840448
MDG-b_23_n2000_m200,11199499.507476,25.008253
MDG-b_24_n2000_m200,11153274.975023,25.542597
MDG-b_25_n2000_m200,11197661.105297,25.065803
MDG-b_26_n2000_m200,11175094.576497,22.660221
MDG-b_27_n2000_m200,11214002.699731,24.63223
MDG-b_28_n2000_m200,11190418.039251,23.46206
MDG-b_29_n2000_m200,11181245.238434,20.418433
MDG-b_30_n2000_m200,11165943.182085,21.691616
MDG-c_1_n3000_m300,24680269.0,68.57299
MDG-c_2_n3000_m300,24667185.0,74.06677
MDG-c_8_n3000_m400,43190089.0,86.488724
MDG-c_9_n3000_m400,43125997.0,98.001809
MDG-c_10_n3000_m400,43136622.0,88.114333
MDG-c_13_n3000_m500,66704966.0,112.764369
MDG-c_14_n3000_m500,66664685.0,110.111094
MDG-c_15_n3000_m500,66655997.0,109.479115
MDG-c_19_n3000_m600,95292197.0,130.071368
MDG-c_20_n3000_m600,95132559.0,121.509782
