File,Diversity,Time
MDG-a_1_n500_m50,7700.82,0.185877
MDG-a_2_n500_m50,7721.71,0.163316
MDG-a_3_n500_m50,7705.94,0.19582
MDG-a_4_n500_m50,7645.81,0.203958
MDG-a_5_n500_m50,7643.15,0.210678
MDG-a_6_n500_m50,7664.54,0.186335
MDG-a_7_n500_m50,7700.58,0.180075
MDG-a_8_n500_m50,7692.35,0.202284
MDG-a_9_n500_m50,7623.02,0.174959
MDG-a_10_n500_m50,7711.32,0.165259
MDG-b_21_n2000_m200,11098034.367619,12.714229
MDG-b_22_n2000_m200,11114872.596709,13.74357
MDG-b_23_n2000_m200,11046514.713112,13.221175
MDG-b_24_n2000_m200,11085811.030799,12.426276
MDG-b_25_n2000_m200,11108364.164213,13.379022
MDG-b_26_n2000_m200,11101324.660648,12.462323
MDG-b_27_n2000_m200,11108922.583065,12.367685
MDG-b_28_n2000_m200,11114670.65925,12.96751
MDG-b_29_n2000_m200,11163653.99827,12.191321
MDG-b_30_n2000_m200,11092297.742468,11.631424
MDG-c_1_n3000_m300,24501042.0,41.494163
MDG-c_2_n3000_m300,24455245.0,39.206223
MDG-c_8_n3000_m400,42827259.0,52.130071
MDG-c_9_n3000_m400,42743253.0,50.978821
MDG-c_10_n3000_m400,42808199.0,51.95662
MDG-c_13_n3000_m500,66183870.0,70.166402
MDG-c_14_n3000_m500,66120270.0,67.915979
MDG-c_15_n3000_m500,66236107.0,65.384416
MDG-c_19_n3000_m600,94745444.0,79.415658
MDG-c_20_n3000_m600,94389441.0,89.668006
