Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7707.95,1.61,2.090093
MDG-a_2_n500_m50,7638.38,1.71,2.107509
MDG-a_3_n500_m50,7606.73,1.97,2.000252
MDG-a_4_n500_m50,7572.09,2.55,1.9783
MDG-a_5_n500_m50,7578.8,2.27,2.056744
MDG-a_6_n500_m50,7595.96,2.29,2.003538
MDG-a_7_n500_m50,7657.02,1.48,2.028599
MDG-a_8_n500_m50,7573.56,2.29,1.996006
MDG-a_9_n500_m50,7624.78,1.87,2.047315
MDG-a_10_n500_m50,7559.2,2.84,2.024727
MDG-b_21_n2000_m200,11121197.565411,1.58,47.359572
MDG-b_22_n2000_m200,11140356.96411,1.3,46.470377
MDG-b_23_n2000_m200,11122989.485668,1.57,47.038308
MDG-b_24_n2000_m200,11093069.977321,1.75,47.933936
MDG-b_25_n2000_m200,11160806.463414,1.2,46.681582
MDG-b_26_n2000_m200,11128960.812991,1.45,46.708763
MDG-b_27_n2000_m200,11151190.815364,1.37,46.649915
MDG-b_28_n2000_m200,11133921.949524,1.29,44.099666
MDG-b_29_n2000_m200,11105148.429167,1.7,43.791342
MDG-b_30_n2000_m200,11115025.068757,1.61,44.419215
MDG-c_1_n3000_m300,24606743,1.11,142.839721
MDG-c_2_n3000_m300,24604945,1.21,142.000313
MDG-c_8_n3000_m400,43018354,0.96,201.906448
MDG-c_9_n3000_m400,43010797,0.98,199.613779
MDG-c_10_n3000_m400,42986441,1.13,203.129084
MDG-c_13_n3000_m500,66338876,1.01,244.070216
MDG-c_14_n3000_m500,66332815,0.97,242.688824
MDG-c_15_n3000_m500,66450927,0.81,248.337499
MDG-c_19_n3000_m600,94857517,0.81,293.797158
MDG-c_20_n3000_m600,94808873,0.87,303.61342
