Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7665.34,2.15,0.444765
MDG-a_2_n500_m50,7638.93,1.71,0.424028
MDG-a_3_n500_m50,7659.83,1.28,0.427798
MDG-a_4_n500_m50,7594.19,2.27,0.454077
MDG-a_5_n500_m50,7644.02,1.43,0.423357
MDG-a_6_n500_m50,7602.98,2.2,0.43389
MDG-a_7_n500_m50,7622.97,1.91,0.425276
MDG-a_8_n500_m50,7646.34,1.35,0.409405
MDG-a_9_n500_m50,7644.58,1.62,0.408827
MDG-a_10_n500_m50,7623.36,2.02,0.415836
MDG-b_21_n2000_m200,11154224.651148,1.29,24.167352
MDG-b_22_n2000_m200,11195682.50995,0.81,25.845168
MDG-b_23_n2000_m200,11193129.056159,0.95,23.585301
MDG-b_24_n2000_m200,11154194.151774,1.21,27.342935
MDG-b_25_n2000_m200,11181857.898937,1.01,23.255834
MDG-b_26_n2000_m200,11185064.252571,0.95,24.836796
MDG-b_27_n2000_m200,11186293.835698,1.06,23.695422
MDG-b_28_n2000_m200,11136103.80939,1.27,21.437087
MDG-b_29_n2000_m200,11164170.189057,1.18,23.421367
MDG-b_30_n2000_m200,11154631.751513,1.26,24.846379
MDG-c_1_n3000_m300,24728126,0.63,84.572393
MDG-c_2_n3000_m300,24697000,0.84,72.995771
MDG-c_8_n3000_m400,43165013,0.63,100.799762
MDG-c_9_n3000_m400,43149724,0.66,105.070718
MDG-c_10_n3000_m400,43187178,0.66,100.059467
MDG-c_13_n3000_m500,66773925,0.36,122.149366
MDG-c_14_n3000_m500,66647248,0.5,119.359096
MDG-c_15_n3000_m500,66732655,0.39,116.756599
MDG-c_19_n3000_m600,95201709,0.45,140.959524
MDG-c_20_n3000_m600,95187705,0.48,141.718517
