File,Diversity,Time
MDG-a_1_n500_m50,7728.33,0.012233
MDG-a_2_n500_m50,7660.38,0.012351
MDG-a_3_n500_m50,7685.73,0.011932
MDG-a_4_n500_m50,7670.73,0.015868
MDG-a_5_n500_m50,7697.13,0.016373
MDG-a_6_n500_m50,7672.51,0.012666
MDG-a_7_n500_m50,7671.47,0.012405
MDG-a_8_n500_m50,7638.95,0.012286
MDG-a_9_n500_m50,7671.42,0.013374
MDG-a_10_n500_m50,7691.73,0.013038
MDG-b_21_n2000_m200,11191731.408656,0.532284
MDG-b_22_n2000_m200,11173811.056111,0.521224
MDG-b_23_n2000_m200,11188292.385945,0.525522
MDG-b_24_n2000_m200,11171816.301443,0.532577
MDG-b_25_n2000_m200,11187435.832728,0.548333
MDG-b_26_n2000_m200,11183285.709461,0.546099
MDG-b_27_n2000_m200,11187635.60774,0.532168
MDG-b_28_n2000_m200,11159849.337533,0.524228
MDG-b_29_n2000_m200,11165563.257994,0.522079
MDG-b_30_n2000_m200,11175655.345143,0.549862
MDG-c_1_n3000_m300,24669394.0,2.01838
MDG-c_2_n3000_m300,24640413.0,1.971658
MDG-c_8_n3000_m400,43103744.0,4.657343
MDG-c_9_n3000_m400,43115518.0,4.662822
MDG-c_10_n3000_m400,43106298.0,4.611775
MDG-c_13_n3000_m500,66572923.0,8.453675
MDG-c_14_n3000_m500,66605573.0,8.503327
MDG-c_15_n3000_m500,66616585.0,8.39549
MDG-c_19_n3000_m600,95117057.0,13.388097
MDG-c_20_n3000_m600,95136282.0,13.3599
