File,Diversity,Time
MDG-a_1_n500_m50,7772.47,0.013603
MDG-a_2_n500_m50,7591.18,0.01405
MDG-a_3_n500_m50,7707.75,0.015932
MDG-a_4_n500_m50,7702.17,0.015334
MDG-a_5_n500_m50,7714.32,0.017715
MDG-a_6_n500_m50,7672.09,0.014922
MDG-a_7_n500_m50,7705.26,0.016767
MDG-a_8_n500_m50,7656.16,0.014316
MDG-a_9_n500_m50,7636.03,0.013425
MDG-a_10_n500_m50,7660.88,0.017283
MDG-b_21_n2000_m200,10151566.026281,0.204191
MDG-b_22_n2000_m200,10142682.076739,0.209332
MDG-b_23_n2000_m200,10164738.443003,0.203536
MDG-b_24_n2000_m200,10133208.450619,0.203854
MDG-b_25_n2000_m200,10164812.427095,0.207782
MDG-b_26_n2000_m200,10145251.979101,0.205104
MDG-b_27_n2000_m200,10137104.785362,0.204665
MDG-b_28_n2000_m200,10128767.335839,0.20431
MDG-b_29_n2000_m200,10144259.477367,0.204871
MDG-b_30_n2000_m200,10142830.755806,0.205124
MDG-c_1_n3000_m300,22659579.0,0.354045
MDG-c_2_n3000_m300,22681498.0,0.350276
MDG-c_8_n3000_m400,40219034.0,0.440523
MDG-c_9_n3000_m400,40165010.0,0.429584
MDG-c_10_n3000_m400,40208739.0,0.511763
MDG-c_13_n3000_m500,62760313.0,0.56673
MDG-c_14_n3000_m500,62781454.0,0.504105
MDG-c_15_n3000_m500,62827242.0,0.499241
MDG-c_19_n3000_m600,90284193.0,0.557551
MDG-c_20_n3000_m600,90288483.0,0.559854
