File,Diversity,Time
MDG-a_1_n500_m50,7670.07,0.005823
MDG-a_2_n500_m50,7605.52,0.007832
MDG-a_3_n500_m50,7640.15,0.004418
MDG-a_4_n500_m50,7506.45,0.002632
MDG-a_5_n500_m50,7595.3,0.007541
MDG-a_6_n500_m50,7513.32,0.002652
MDG-a_7_n500_m50,7531.44,0.00347
MDG-a_8_n500_m50,7609.81,0.007455
MDG-a_9_n500_m50,7654.97,0.005809
MDG-a_10_n500_m50,7707.51,0.010037
MDG-b_21_n2000_m200,11153491.077362,0.181717
MDG-b_22_n2000_m200,11164122.435074,0.180099
MDG-b_23_n2000_m200,11177722.312113,0.176103
MDG-b_24_n2000_m200,11123656.222893,0.173215
MDG-b_25_n2000_m200,11181796.14402,0.171988
MDG-b_26_n2000_m200,11157826.838857,0.173737
MDG-b_27_n2000_m200,11165835.734422,0.175025
MDG-b_28_n2000_m200,11117125.98953,0.1719
MDG-b_29_n2000_m200,11163768.720372,0.174286
MDG-b_30_n2000_m200,11148372.956175,0.172032
MDG-c_1_n3000_m300,24629537.0,0.330541
MDG-c_2_n3000_m300,24583307.0,0.327877
MDG-c_8_n3000_m400,43021119.0,0.409009
MDG-c_9_n3000_m400,43029662.0,0.407065
MDG-c_10_n3000_m400,43016458.0,0.408088
MDG-c_13_n3000_m500,66537801.0,0.472688
MDG-c_14_n3000_m500,66612608.0,0.469757
MDG-c_15_n3000_m500,66674765.0,0.469974
MDG-c_19_n3000_m600,94961970.0,0.544639
MDG-c_20_n3000_m600,94903837.0,0.528779
