Nº casos:,30,,,,,,,,,,
,,,,,Búsqueda Local,,,,,,
Caso,n,m,Mejor coste,,Caso,Coste obtenido,Desv,Tiempo (s),,,
MDG-a_1_n500_m50,500,50,7833.83252,,MDG-a_1_n500_m50,7605.85,2.91,0.001625,,,
MDG-a_2_n500_m50,500,50,7771.66162,,MDG-a_2_n500_m50,7650.91,1.55,0.001816,,,
MDG-a_3_n500_m50,500,50,7759.35986,,MDG-a_3_n500_m50,7627.05,1.71,0.001806,,Media Desv:,1.42
MDG-a_4_n500_m50,500,50,7770.2417,,MDG-a_4_n500_m50,7628.28,1.83,0.001896,,Media Tiempo:,2.36
MDG-a_5_n500_m50,500,50,7755.23096,,MDG-a_5_n500_m50,7443.78,4.02,0.001291,,,
MDG-a_6_n500_m50,500,50,7773.70996,,MDG-a_6_n500_m50,7519.01,3.28,0.001317,,,
MDG-a_7_n500_m50,500,50,7771.73096,,MDG-a_7_n500_m50,7602.72,2.17,0.001892,,,
MDG-a_8_n500_m50,500,50,7750.88135,,MDG-a_8_n500_m50,7527.51,2.88,0.001354,,,
MDG-a_9_n500_m50,500,50,7770.0708,,MDG-a_9_n500_m50,7605.79,2.11,0.001631,,,
MDG-a_10_n500_m50,500,50,7780.35059,,MDG-a_10_n500_m50,7625.84,1.99,0.001932,,,
MDG-b_21_n2000_m200,2000,20,11299894.85774,,MDG-b_21_n2000_m200,11180058.750775,1.06,0.677438,,,
MDG-b_22_n2000_m200,2000,20,11286775.58894,,MDG-b_22_n2000_m200,11155314.466742,1.16,0.555748,,,
MDG-b_23_n2000_m200,2000,20,11299940.86847,,MDG-b_23_n2000_m200,11108124.604139,1.70,0.496808,,,
MDG-b_24_n2000_m200,2000,20,11290874.15963,,MDG-b_24_n2000_m200,11153820.029699,1.21,0.542795,,,
MDG-b_25_n2000_m200,2000,20,11296066.6607,,MDG-b_25_n2000_m200,11171185.53995,1.11,0.597482,,,
MDG-b_26_n2000_m200,2000,20,11292295.88629,,MDG-b_26_n2000_m200,11188729.123865,0.92,0.634261,,,
MDG-b_27_n2000_m200,2000,20,11305676.84757,,MDG-b_27_n2000_m200,11114584.701586,1.69,0.499422,,,
MDG-b_28_n2000_m200,2000,20,11279916.05595,,MDG-b_28_n2000_m200,11179532.969364,0.89,0.610616,,,
MDG-b_29_n2000_m200,2000,20,11297188.33456,,MDG-b_29_n2000_m200,11149615.9197,1.31,0.62679,,,
MDG-b_30_n2000_m200,2000,20,11296414.92982,,MDG-b_30_n2000_m200,11157311.470229,1.23,0.588087,,,
MDG-c_1_n3000_m300,3000,300,24884110,,MDG-c_1_n3000_m300,24736454,0.59,3.828034,,,
MDG-c_2_n3000_m300,3000,300,24905330,,MDG-c_2_n3000_m300,24675066,0.92,3.003777,,,
MDG-c_8_n3000_m400,3000,400,43437261,,MDG-c_8_n3000_m400,43243999,0.44,5.740351,,,
MDG-c_9_n3000_m400,3000,400,43437861,,MDG-c_9_n3000_m400,43163449,0.63,6.146966,,,
MDG-c_10_n3000_m400,3000,400,43476251,,MDG-c_10_n3000_m400,42989641,1.12,4.425393,,,
MDG-c_13_n3000_m500,3000,500,67014051,,MDG-c_13_n3000_m500,66766340,0.37,8.536604,,,
MDG-c_14_n3000_m500,3000,500,66979606,,MDG-c_14_n3000_m500,66628488,0.52,7.471225,,,
MDG-c_15_n3000_m500,3000,500,66992877,,MDG-c_15_n3000_m500,66715761,0.41,7.363534,,,
MDG-c_19_n3000_m600,3000,600,95633549,,MDG-c_19_n3000_m600,95226472,0.43,9.204225,,,
MDG-c_20_n3000_m600,3000,600,95643586,,MDG-c_20_n3000_m600,95271298,0.39,9.370968,,,
