Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7728.33,-64769678.75,0.012233
MDG-a_2_n500_m50,7660.38,-48275549.11,0.012351
MDG-a_3_n500_m50,7685.73,-46941389.04,0.011932
MDG-a_4_n500_m50,7670.73,-60561482.19,0.015868
MDG-a_5_n500_m50,7697.13,-62048509.43,0.016373
MDG-a_6_n500_m50,7672.51,-62449110.48,0.012666
MDG-a_7_n500_m50,7671.47,-57360973.73,0.012405
MDG-a_8_n500_m50,7638.95,-58589791.09,0.012286
MDG-a_9_n500_m50,7671.42,-1441126.86,0.013374
MDG-a_10_n500_m50,7691.73,-1475605.26,0.013038
MDG-b_21_n2000_m200,11191731.408656,-2129640792.04,0.532284
MDG-b_22_n2000_m200,11173811.056111,-2098064791.29,0.521224
MDG-b_23_n2000_m200,11188292.385945,-2040419204.68,0.525522
MDG-b_24_n2000_m200,11171816.301443,-2045749169.17,0.532577
MDG-b_25_n2000_m200,11187435.832728,-2102237507.81,0.548333
MDG-b_26_n2000_m200,11183285.709461,-2133286506.11,0.546099
MDG-b_27_n2000_m200,11187635.60774,-2142900803.45,0.532168
MDG-b_28_n2000_m200,11159849.337533,-2029572654.17,0.524228
MDG-b_29_n2000_m200,11165563.257994,-553194207.22,0.522079
MDG-b_30_n2000_m200,11175655.345143,-566815004.10,0.549862
MDG-c_1_n3000_m300,24669394,-529688050.52,2.01838
MDG-c_2_n3000_m300,24640413,-528444112.54,1.971658
MDG-c_8_n3000_m400,43103744,-934645323.94,4.657343
MDG-c_9_n3000_m400,43115518,-510020902.70,4.662822
MDG-c_10_n3000_m400,43106298,-506934397.52,4.611775
MDG-c_13_n3000_m500,66572923,-792960441.91,8.453675
MDG-c_14_n3000_m500,66605573,-497498334.62,8.503327
MDG-c_15_n3000_m500,66616585,-498630765.50,8.39549
MDG-c_19_n3000_m600,95117057,#DIV/0!,13.388097
MDG-c_20_n3000_m600,95136282,#DIV/0!,13.3599
