Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7822.51,0.14,0.017223
MDG-a_2_n500_m50,7622.47,1.92,0.017501
MDG-a_3_n500_m50,7687.28,0.93,0.017603
MDG-a_4_n500_m50,7721.95,0.62,0.017324
MDG-a_5_n500_m50,7691.9,0.82,0.017419
MDG-a_6_n500_m50,7725.73,0.62,0.017166
MDG-a_7_n500_m50,7664.32,1.38,0.017268
MDG-a_8_n500_m50,7654.96,1.24,0.017379
MDG-a_9_n500_m50,7700.72,0.89,0.017494
MDG-a_10_n500_m50,7736.47,0.56,0.017405
MDG-b_21_n2000_m200,10162614.655392,10.06,0.205683
MDG-b_22_n2000_m200,10155040.633824,10.03,0.205459
MDG-b_23_n2000_m200,10138784.833135,10.28,0.205642
MDG-b_24_n2000_m200,10153786.637714,10.07,0.206286
MDG-b_25_n2000_m200,10163162.861106,10.03,0.204915
MDG-b_26_n2000_m200,10158557.59055,10.04,0.205627
MDG-b_27_n2000_m200,10161174.429393,10.12,0.20545
MDG-b_28_n2000_m200,10146500.196885,10.05,0.206452
MDG-b_29_n2000_m200,10166804.326253,10.01,0.205845
MDG-b_30_n2000_m200,10167455.620431,9.99,0.20554
MDG-c_1_n3000_m300,22710993,8.73,0.348398
MDG-c_2_n3000_m300,22674638,8.96,0.347968
MDG-c_8_n3000_m400,40198770,7.46,0.427377
MDG-c_9_n3000_m400,40192167,7.47,0.426212
MDG-c_10_n3000_m400,40208739,7.52,0.426514
MDG-c_13_n3000_m500,62739982,6.38,0.490806
MDG-c_14_n3000_m500,62722779,6.36,0.490771
MDG-c_15_n3000_m500,62827242,6.22,0.491505
MDG-c_19_n3000_m600,90250861,5.63,0.553255
MDG-c_20_n3000_m600,90300816,5.59,0.553272
