Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7560.83,3.48,0.01891
MDG-a_2_n500_m50,7563.4,2.68,0.018826
MDG-a_3_n500_m50,7460.16,3.86,0.019232
MDG-a_4_n500_m50,7451.87,4.1,0.01887
MDG-a_5_n500_m50,7436.75,4.11,0.019018
MDG-a_6_n500_m50,7518.25,3.29,0.018643
MDG-a_7_n500_m50,7502.04,3.47,0.018787
MDG-a_8_n500_m50,7495.04,3.3,0.018996
MDG-a_9_n500_m50,7554.54,2.77,0.018889
MDG-a_10_n500_m50,7462.38,4.09,0.0205
MDG-b_21_n2000_m200,10057595.617523,10.99,0.192389
MDG-b_22_n2000_m200,10063542.205813,10.84,0.192122
MDG-b_23_n2000_m200,9993237.92958,11.56,0.192491
MDG-b_24_n2000_m200,10021100.549492,11.25,0.192892
MDG-b_25_n2000_m200,10025313.148476,11.25,0.192684
MDG-b_26_n2000_m200,10051312.29967,10.99,0.193354
MDG-b_27_n2000_m200,10051140.804994,11.1,0.192243
MDG-b_28_n2000_m200,10025336.809131,11.12,0.193467
MDG-b_29_n2000_m200,10047516.382319,11.06,0.192314
MDG-b_30_n2000_m200,9971925.528861,11.72,0.19205
MDG-c_1_n3000_m300,22502085,9.57,0.405454
MDG-c_2_n3000_m300,22535949,9.51,0.407438
MDG-c_8_n3000_m400,40024366,7.86,0.499524
MDG-c_9_n3000_m400,40134952,7.6,0.497438
MDG-c_10_n3000_m400,40082879,7.81,0.5004
MDG-c_13_n3000_m500,62482702,6.76,0.576292
MDG-c_14_n3000_m500,62517590,6.66,0.571553
MDG-c_15_n3000_m500,62559375,6.62,0.570204
MDG-c_19_n3000_m600,90059376,5.83,0.63464
MDG-c_20_n3000_m600,89993465,5.91,0.633904
