Nº casos:,30,,,,,,,,,,
,,,,,ILS-ES,,,,,,
Caso,n,m,Mejor coste,,Caso,Coste obtenido,Desv,Tiempo (s),,,
MDG-a_1_n500_m50,500,50,7833.83252,,MDG-a_1_n500_m50,7688.55,1.85,0.013025,,,
MDG-a_2_n500_m50,500,50,7771.66162,,MDG-a_2_n500_m50,7583.18,2.43,0.010762,,,
MDG-a_3_n500_m50,500,50,7759.35986,,MDG-a_3_n500_m50,7617.36,1.83,0.010989,,Media Desv:,1.90
MDG-a_4_n500_m50,500,50,7770.2417,,MDG-a_4_n500_m50,7614.03,2.01,0.009433,,Media Tiempo:,0.25
MDG-a_5_n500_m50,500,50,7755.23096,,MDG-a_5_n500_m50,7584.14,2.21,0.012293,,,
MDG-a_6_n500_m50,500,50,7773.70996,,MDG-a_6_n500_m50,7635.45,1.78,0.011575,,,
MDG-a_7_n500_m50,500,50,7771.73096,,MDG-a_7_n500_m50,7595.37,2.27,0.009254,,,
MDG-a_8_n500_m50,500,50,7750.88135,,MDG-a_8_n500_m50,7573.66,2.29,0.007552,,,
MDG-a_9_n500_m50,500,50,7770.0708,,MDG-a_9_n500_m50,7639.81,1.68,0.012658,,,
MDG-a_10_n500_m50,500,50,7780.35059,,MDG-a_10_n500_m50,7637.35,1.84,0.011361,,,
MDG-b_21_n2000_m200,2000,20,11299894.85774,,MDG-b_21_n2000_m200,11068003.955976,2.05,0.206044,,,
MDG-b_22_n2000_m200,2000,20,11286775.58894,,MDG-b_22_n2000_m200,11060132.655931,2.01,0.204699,,,
MDG-b_23_n2000_m200,2000,20,11299940.86847,,MDG-b_23_n2000_m200,11069203.552235,2.04,0.202776,,,
MDG-b_24_n2000_m200,2000,20,11290874.15963,,MDG-b_24_n2000_m200,11056236.568095,2.08,0.203707,,,
MDG-b_25_n2000_m200,2000,20,11296066.6607,,MDG-b_25_n2000_m200,11055221.627186,2.13,0.205322,,,
MDG-b_26_n2000_m200,2000,20,11292295.88629,,MDG-b_26_n2000_m200,11051869.495003,2.13,0.207499,,,
MDG-b_27_n2000_m200,2000,20,11305676.84757,,MDG-b_27_n2000_m200,11090421.938119,1.90,0.216578,,,
MDG-b_28_n2000_m200,2000,20,11279916.05595,,MDG-b_28_n2000_m200,11039821.961075,2.13,0.205257,,,
MDG-b_29_n2000_m200,2000,20,11297188.33456,,MDG-b_29_n2000_m200,11046771.985463,2.22,0.206878,,,
MDG-b_30_n2000_m200,2000,20,11296414.92982,,MDG-b_30_n2000_m200,11063992.412004,2.06,0.211543,,,
MDG-c_1_n3000_m300,3000,300,24884110,,MDG-c_1_n3000_m300,24403876,1.93,0.38135,,,
MDG-c_2_n3000_m300,3000,300,24905330,,MDG-c_2_n3000_m300,24387202,2.08,0.380725,,,
MDG-c_8_n3000_m400,3000,400,43437261,,MDG-c_8_n3000_m400,42689925,1.72,0.464392,,,
MDG-c_9_n3000_m400,3000,400,43437861,,MDG-c_9_n3000_m400,42599249,1.93,0.456703,,,
MDG-c_10_n3000_m400,3000,400,43476251,,MDG-c_10_n3000_m400,42639333,1.93,0.450785,,,
MDG-c_13_n3000_m500,3000,500,67014051,,MDG-c_13_n3000_m500,66100517,1.36,0.664353,,,
MDG-c_14_n3000_m500,3000,500,66979606,,MDG-c_14_n3000_m500,66091141,1.33,0.663482,,,
MDG-c_15_n3000_m500,3000,500,66992877,,MDG-c_15_n3000_m500,66120163,1.30,0.655507,,,
MDG-c_19_n3000_m600,3000,600,95633549,,MDG-c_19_n3000_m600,94584294,1.10,0.609351,,,
MDG-c_20_n3000_m600,3000,600,95643586,,MDG-c_20_n3000_m600,94423469,1.28,0.609447,,,
