Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7709.93,1.58,0.005458
MDG-a_2_n500_m50,7724.48,0.61,0.005492
MDG-a_3_n500_m50,7700.95,0.75,0.005432
MDG-a_4_n500_m50,7698.72,0.92,0.004801
MDG-a_5_n500_m50,7675.08,1.03,0.005607
MDG-a_6_n500_m50,7724.5,0.63,0.00516
MDG-a_7_n500_m50,7684.35,1.12,0.005209
MDG-a_8_n500_m50,7636.8,1.47,0.004604
MDG-a_9_n500_m50,7588.69,2.33,0.005811
MDG-a_10_n500_m50,7639.14,1.81,0.005155
MDG-b_21_n2000_m200,11246174.943997,0.48,0.279171
MDG-b_22_n2000_m200,11234217.903533,0.47,0.283377
MDG-b_23_n2000_m200,11265404.407986,0.31,0.282715
MDG-b_24_n2000_m200,11235595.316972,0.49,0.278637
MDG-b_25_n2000_m200,11238488.875162,0.51,0.264429
MDG-b_26_n2000_m200,11222485.977794,0.62,0.266735
MDG-b_27_n2000_m200,11270651.986493,0.31,0.271429
MDG-b_28_n2000_m200,11206855.439177,0.65,0.267736
MDG-b_29_n2000_m200,11232129.73934,0.58,0.28129
MDG-b_30_n2000_m200,11221257.950393,0.67,0.268129
MDG-c_1_n3000_m300,24799202,0.34,0.891335
MDG-c_2_n3000_m300,24768855,0.55,0.873298
MDG-c_8_n3000_m400,43289507,0.34,1.848681
MDG-c_9_n3000_m400,43310665,0.29,1.906863
MDG-c_10_n3000_m400,43295479,0.42,1.905886
MDG-c_13_n3000_m500,66746057,0.4,3.34356
MDG-c_14_n3000_m500,66829831,0.22,3.357704
MDG-c_15_n3000_m500,66888838,0.16,3.323805
MDG-c_19_n3000_m600,95338561,0.31,5.247
MDG-c_20_n3000_m600,95405963,0.25,5.039759
