funcid,dim,milestone,error
5,10,1,5.075521e+02
5,10,2,5.075521e+02
5,10,3,5.073703e+02
5,10,5,5.073499e+02
5,10,10,5.073290e+02
5,10,20,5.072892e+02
5,10,30,5.072892e+02
5,10,40,5.072892e+02
5,10,50,5.072892e+02
5,10,60,5.072892e+02
5,10,70,5.072892e+02
5,10,80,1.975781e+02
5,10,90,1.841257e+02
5,10,100,1.204430e+02
5,10,1,2.313031e+02
5,10,2,2.313031e+02
5,10,3,2.312187e+02
5,10,5,2.311458e+02
5,10,10,2.311267e+02
5,10,20,2.311259e+02
5,10,30,2.311189e+02
5,10,40,2.310823e+02
5,10,50,2.310823e+02
5,10,60,2.310823e+02
5,10,70,2.310823e+02
5,10,80,2.310823e+02
5,10,90,2.310823e+02
5,10,100,1.663768e+02
5,10,1,2.292344e+02
5,10,2,2.292344e+02
5,10,3,2.290134e+02
5,10,5,2.288945e+02
5,10,10,2.288893e+02
5,10,20,2.288810e+02
5,10,30,2.288810e+02
5,10,40,2.288715e+02
5,10,50,2.288715e+02
5,10,60,2.288715e+02
5,10,70,2.288715e+02
5,10,80,2.288715e+02
5,10,90,2.119424e+02
5,10,100,2.119411e+02
5,10,1,1.216154e+02
5,10,2,1.216154e+02
5,10,3,1.215353e+02
5,10,5,1.214469e+02
5,10,10,1.214244e+02
5,10,20,1.214193e+02
5,10,30,1.214193e+02
5,10,40,1.214193e+02
5,10,50,1.214193e+02
5,10,60,1.214193e+02
5,10,70,1.214148e+02
5,10,80,1.214148e+02
5,10,90,3.185362e+01
5,10,100,3.185362e+01
5,10,1,1.099607e+02
5,10,2,1.097013e+02
5,10,3,1.095085e+02
5,10,5,1.094927e+02
5,10,10,1.094927e+02
5,10,20,1.094808e+02
5,10,30,1.094808e+02
5,10,40,1.094747e+02
5,10,50,1.094747e+02
5,10,60,1.094747e+02
5,10,70,1.094747e+02
5,10,80,1.094747e+02
5,10,90,1.094747e+02
5,10,100,1.094747e+02
5,10,1,2.531544e+02
5,10,2,2.531544e+02
5,10,3,2.529210e+02
5,10,5,2.527640e+02
5,10,10,2.527640e+02
5,10,20,2.527342e+02
5,10,30,2.527342e+02
5,10,40,2.527342e+02
5,10,50,2.527342e+02
5,10,60,2.527342e+02
5,10,70,2.527342e+02
5,10,80,2.527342e+02
5,10,90,2.527342e+02
5,10,100,1.045478e+02
5,10,1,2.173347e+02
5,10,2,2.170683e+02
5,10,3,2.170011e+02
5,10,5,2.169590e+02
5,10,10,2.169590e+02
5,10,20,2.169590e+02
5,10,30,2.169590e+02
5,10,40,2.169590e+02
5,10,50,2.169590e+02
5,10,60,2.169590e+02
5,10,70,2.169590e+02
5,10,80,2.169590e+02
5,10,90,1.214899e+02
5,10,100,1.214074e+02
5,10,1,3.772949e+02
5,10,2,3.772949e+02
5,10,3,3.772249e+02
5,10,5,3.771469e+02
5,10,10,3.771366e+02
5,10,20,3.771080e+02
5,10,30,3.771076e+02
5,10,40,3.771076e+02
5,10,50,3.771076e+02
5,10,60,3.771076e+02
5,10,70,3.771076e+02
5,10,80,3.771076e+02
5,10,90,3.771076e+02
5,10,100,1.055331e+02
5,10,1,2.788700e+02
5,10,2,2.788700e+02
5,10,3,2.786890e+02
5,10,5,2.786317e+02
5,10,10,2.786317e+02
5,10,20,2.786276e+02
5,10,30,2.785908e+02
5,10,40,2.785908e+02
5,10,50,2.785908e+02
5,10,60,2.785908e+02
5,10,70,2.785908e+02
5,10,80,1.446683e+02
5,10,90,1.443331e+02
5,10,100,1.283779e+02
5,10,1,2.179858e+02
5,10,2,2.179858e+02
5,10,3,2.179858e+02
5,10,5,2.179233e+02
5,10,10,2.179233e+02
5,10,20,2.179233e+02
5,10,30,2.179233e+02
5,10,40,2.179233e+02
5,10,50,2.179233e+02
5,10,60,2.179233e+02
5,10,70,2.179233e+02
5,10,80,2.179205e+02
5,10,90,7.862997e+01
5,10,100,7.862997e+01
