funcid,dim,milestone,error
7,10,1,1.552852e+03
7,10,2,1.516257e+03
7,10,3,1.515999e+03
7,10,5,1.515999e+03
7,10,10,1.515999e+03
7,10,20,1.515999e+03
7,10,30,1.515999e+03
7,10,40,1.515999e+03
7,10,50,1.515999e+03
7,10,60,1.515999e+03
7,10,70,8.293404e+02
7,10,80,8.293404e+02
7,10,90,6.032917e+02
7,10,100,6.032906e+02
7,10,1,1.194537e+03
7,10,2,1.193242e+03
7,10,3,1.192393e+03
7,10,5,1.188918e+03
7,10,10,1.188918e+03
7,10,20,1.188918e+03
7,10,30,1.188918e+03
7,10,40,1.188918e+03
7,10,50,1.188918e+03
7,10,60,1.188918e+03
7,10,70,1.188918e+03
7,10,80,1.188918e+03
7,10,90,1.188918e+03
7,10,100,4.698337e+02
7,10,1,9.588611e+02
7,10,2,9.585325e+02
7,10,3,9.547032e+02
7,10,5,9.545943e+02
7,10,10,9.545943e+02
7,10,20,9.545943e+02
7,10,30,9.545943e+02
7,10,40,9.545943e+02
7,10,50,9.545943e+02
7,10,60,9.545943e+02
7,10,70,9.545943e+02
7,10,80,9.545943e+02
7,10,90,9.545943e+02
7,10,100,8.973140e+02
7,10,1,1.002504e+03
7,10,2,1.000076e+03
7,10,3,9.971897e+02
7,10,5,9.971892e+02
7,10,10,9.971892e+02
7,10,20,9.971892e+02
7,10,30,9.971892e+02
7,10,40,9.971892e+02
7,10,50,9.971892e+02
7,10,60,9.971892e+02
7,10,70,9.971892e+02
7,10,80,9.971892e+02
7,10,90,9.971892e+02
7,10,100,9.971892e+02
7,10,1,8.954718e+02
7,10,2,8.931635e+02
7,10,3,8.903578e+02
7,10,5,8.903247e+02
7,10,10,8.903247e+02
7,10,20,8.903247e+02
7,10,30,8.903247e+02
7,10,40,8.903247e+02
7,10,50,8.903247e+02
7,10,60,8.903247e+02
7,10,70,8.903247e+02
7,10,80,8.903247e+02
7,10,90,8.903247e+02
7,10,100,8.903247e+02
7,10,1,9.597161e+02
7,10,2,9.593561e+02
7,10,3,9.530624e+02
7,10,5,9.530620e+02
7,10,10,9.530620e+02
7,10,20,9.273833e+02
7,10,30,9.273833e+02
7,10,40,9.273833e+02
7,10,50,9.273833e+02
7,10,60,9.273833e+02
7,10,70,9.273833e+02
7,10,80,9.273833e+02
7,10,90,9.273833e+02
7,10,100,9.273833e+02
7,10,1,1.637277e+03
7,10,2,1.635177e+03
7,10,3,1.631830e+03
7,10,5,1.631802e+03
7,10,10,1.631802e+03
7,10,20,1.631802e+03
7,10,30,1.581689e+03
7,10,40,1.568833e+03
7,10,50,1.568833e+03
7,10,60,5.941347e+02
7,10,70,5.941347e+02
7,10,80,5.941347e+02
7,10,90,5.941347e+02
7,10,100,5.941347e+02
7,10,1,9.890536e+02
7,10,2,9.890536e+02
7,10,3,9.860112e+02
7,10,5,9.860047e+02
7,10,10,9.860047e+02
7,10,20,9.860047e+02
7,10,30,9.860047e+02
7,10,40,9.860047e+02
7,10,50,9.860047e+02
7,10,60,9.360566e+02
7,10,70,9.360566e+02
7,10,80,5.633713e+02
7,10,90,5.633713e+02
7,10,100,5.633713e+02
7,10,1,9.854430e+02
7,10,2,9.853056e+02
7,10,3,9.835181e+02
7,10,5,9.827184e+02
7,10,10,9.827184e+02
7,10,20,9.827184e+02
7,10,30,9.827184e+02
7,10,40,9.827184e+02
7,10,50,9.827184e+02
7,10,60,9.827184e+02
7,10,70,9.827184e+02
7,10,80,9.827184e+02
7,10,90,9.827184e+02
7,10,100,9.827184e+02
7,10,1,1.191871e+03
7,10,2,1.191871e+03
7,10,3,1.191521e+03
7,10,5,1.191400e+03
7,10,10,1.189844e+03
7,10,20,1.189844e+03
7,10,30,1.189844e+03
7,10,40,1.189844e+03
7,10,50,1.189844e+03
7,10,60,1.189844e+03
7,10,70,1.189844e+03
7,10,80,1.189844e+03
7,10,90,1.189844e+03
7,10,100,5.660061e+02
