funcid,dim,milestone,error
16,10,1,4.407789e+04
16,10,2,1.260914e+03
16,10,3,1.002104e+03
16,10,5,9.971267e+02
16,10,10,9.936224e+02
16,10,20,9.932273e+02
16,10,30,9.505293e+02
16,10,40,9.302348e+02
16,10,50,9.302348e+02
16,10,60,9.230695e+02
16,10,70,9.230695e+02
16,10,80,9.230695e+02
16,10,90,9.230695e+02
16,10,100,9.230695e+02
16,10,1,8.620433e+02
16,10,2,8.150858e+02
16,10,3,8.150858e+02
16,10,5,8.150858e+02
16,10,10,8.150858e+02
16,10,20,8.150858e+02
16,10,30,8.150858e+02
16,10,40,8.150858e+02
16,10,50,8.150858e+02
16,10,60,8.150858e+02
16,10,70,8.150858e+02
16,10,80,4.667001e+02
16,10,90,4.618342e+02
16,10,100,4.581231e+02
16,10,1,8.682553e+03
16,10,2,1.189851e+03
16,10,3,7.142145e+02
16,10,5,5.957036e+02
16,10,10,5.192633e+02
16,10,20,4.798151e+02
16,10,30,4.681448e+02
16,10,40,4.639386e+02
16,10,50,4.615457e+02
16,10,60,4.600807e+02
16,10,70,4.589828e+02
16,10,80,4.581755e+02
16,10,90,4.573658e+02
16,10,100,4.563616e+02
16,10,1,7.343855e+02
16,10,2,6.944191e+02
16,10,3,6.819281e+02
16,10,5,6.740735e+02
16,10,10,6.709344e+02
16,10,20,6.709344e+02
16,10,30,6.618767e+02
16,10,40,6.611165e+02
16,10,50,6.611165e+02
16,10,60,6.611165e+02
16,10,70,5.356021e+02
16,10,80,5.356021e+02
16,10,90,5.242429e+02
16,10,100,5.242429e+02
16,10,1,9.810395e+02
16,10,2,9.069797e+02
16,10,3,8.869005e+02
16,10,5,8.587764e+02
16,10,10,8.407174e+02
16,10,20,8.407174e+02
16,10,30,5.088857e+02
16,10,40,4.778541e+02
16,10,50,4.759678e+02
16,10,60,4.759678e+02
16,10,70,4.730725e+02
16,10,80,4.637239e+02
16,10,90,4.613347e+02
16,10,100,4.613347e+02
16,10,1,1.237206e+04
16,10,2,1.365301e+03
16,10,3,1.115274e+03
16,10,5,9.699249e+02
16,10,10,7.956428e+02
16,10,20,6.640462e+02
16,10,30,6.260698e+02
16,10,40,6.122265e+02
16,10,50,6.058252e+02
16,10,60,6.022412e+02
16,10,70,5.999593e+02
16,10,80,5.981649e+02
16,10,90,5.974237e+02
16,10,100,5.974237e+02
16,10,1,7.781419e+04
16,10,2,5.496745e+03
16,10,3,2.077188e+03
16,10,5,7.158415e+02
16,10,10,5.114298e+02
16,10,20,4.176370e+02
16,10,30,3.933700e+02
16,10,40,3.858162e+02
16,10,50,3.820891e+02
16,10,60,3.795562e+02
16,10,70,3.773817e+02
16,10,80,3.755043e+02
16,10,90,3.738667e+02
16,10,100,3.723832e+02
16,10,1,1.369044e+03
16,10,2,1.240368e+03
16,10,3,1.180574e+03
16,10,5,1.086706e+03
16,10,10,1.005125e+03
16,10,20,1.005125e+03
16,10,30,1.005125e+03
16,10,40,1.005125e+03
16,10,50,1.005125e+03
16,10,60,1.005125e+03
16,10,70,1.005125e+03
16,10,80,1.005125e+03
16,10,90,1.005125e+03
16,10,100,1.005125e+03
16,10,1,4.842945e+03
16,10,2,1.045057e+03
16,10,3,8.998998e+02
16,10,5,8.204928e+02
16,10,10,7.446248e+02
16,10,20,6.912063e+02
16,10,30,6.728771e+02
16,10,40,6.632680e+02
16,10,50,6.584382e+02
16,10,60,6.552714e+02
16,10,70,6.534515e+02
16,10,80,6.523027e+02
16,10,90,6.513934e+02
16,10,100,6.510783e+02
16,10,1,2.815412e+04
16,10,2,1.136369e+03
16,10,3,1.094706e+03
16,10,5,1.093340e+03
16,10,10,1.092997e+03
16,10,20,1.087250e+03
16,10,30,1.087250e+03
16,10,40,1.087250e+03
16,10,50,1.087250e+03
16,10,60,1.087250e+03
16,10,70,1.087250e+03
16,10,80,1.087250e+03
16,10,90,1.087250e+03
16,10,100,1.087250e+03
