funcid,dim,milestone,error
14,30,1,3.256864e+08
14,30,2,3.256864e+08
14,30,3,3.256864e+08
14,30,5,7.392379e+04
14,30,10,4.022911e+04
14,30,20,1.803289e+04
14,30,30,1.574526e+04
14,30,40,1.500107e+04
14,30,50,1.500107e+04
14,30,60,1.500107e+04
14,30,70,1.500107e+04
14,30,80,1.500107e+04
14,30,90,1.500107e+04
14,30,100,1.500107e+04
14,30,1,2.548396e+09
14,30,2,4.625110e+08
14,30,3,1.636254e+08
14,30,5,1.636254e+08
14,30,10,3.454103e+06
14,30,20,2.063655e+06
14,30,30,2.063655e+06
14,30,40,4.715101e+05
14,30,50,4.715101e+05
14,30,60,4.715101e+05
14,30,70,2.276623e+05
14,30,80,1.752633e+05
14,30,90,1.600980e+05
14,30,100,1.600980e+05
14,30,1,1.752930e+06
14,30,2,1.443549e+06
14,30,3,1.222515e+06
14,30,5,8.809514e+05
14,30,10,6.630035e+05
14,30,20,6.556301e+05
14,30,30,6.556301e+05
14,30,40,6.556301e+05
14,30,50,7.116431e+04
14,30,60,5.682007e+04
14,30,70,5.682007e+04
14,30,80,5.682007e+04
14,30,90,5.682007e+04
14,30,100,5.682007e+04
14,30,1,8.553400e+08
14,30,2,2.715349e+08
14,30,3,4.108938e+06
14,30,5,4.108938e+06
14,30,10,4.108938e+06
14,30,20,4.309212e+05
14,30,30,3.064215e+05
14,30,40,1.839096e+05
14,30,50,1.504617e+05
14,30,60,1.504617e+05
14,30,70,1.504617e+05
14,30,80,1.504617e+05
14,30,90,1.504617e+05
14,30,100,1.504617e+05
14,30,1,2.942399e+07
14,30,2,2.942399e+07
14,30,3,2.942399e+07
14,30,5,1.139068e+06
14,30,10,4.567663e+05
14,30,20,4.238405e+05
14,30,30,4.238405e+05
14,30,40,4.238405e+05
14,30,50,4.238405e+05
14,30,60,4.238405e+05
14,30,70,4.238405e+05
14,30,80,4.238405e+05
14,30,90,1.903413e+05
14,30,100,2.137066e+04
14,30,1,1.226010e+09
14,30,2,3.458380e+08
14,30,3,1.353895e+08
14,30,5,1.362114e+06
14,30,10,2.461257e+05
14,30,20,2.067366e+05
14,30,30,2.067366e+05
14,30,40,2.067366e+05
14,30,50,2.067366e+05
14,30,60,2.067366e+05
14,30,70,2.067366e+05
14,30,80,2.067366e+05
14,30,90,2.067366e+05
14,30,100,2.067366e+05
14,30,1,6.852122e+05
14,30,2,2.324480e+05
14,30,3,1.941338e+05
14,30,5,1.385921e+05
14,30,10,1.056288e+05
14,30,20,9.503458e+04
14,30,30,9.503458e+04
14,30,40,6.620432e+04
14,30,50,6.586945e+04
14,30,60,6.586945e+04
14,30,70,6.586945e+04
14,30,80,6.586945e+04
14,30,90,6.586945e+04
14,30,100,6.586945e+04
14,30,1,6.666324e+08
14,30,2,4.786660e+08
14,30,3,4.786660e+08
14,30,5,4.786660e+08
14,30,10,1.664014e+06
14,30,20,9.194282e+05
14,30,30,9.194282e+05
14,30,40,9.194282e+05
14,30,50,9.194282e+05
14,30,60,7.296196e+05
14,30,70,7.296196e+05
14,30,80,5.377648e+05
14,30,90,5.377648e+05
14,30,100,5.377648e+05
14,30,1,4.727696e+07
14,30,2,4.727696e+07
14,30,3,4.727696e+07
14,30,5,4.727696e+07
14,30,10,7.732473e+04
14,30,20,7.133478e+04
14,30,30,6.716227e+04
14,30,40,6.716227e+04
14,30,50,6.716227e+04
14,30,60,6.716227e+04
14,30,70,6.716227e+04
14,30,80,6.716227e+04
14,30,90,6.716227e+04
14,30,100,6.716227e+04
14,30,1,8.978552e+08
14,30,2,2.347735e+07
14,30,3,1.921363e+07
14,30,5,1.515995e+07
14,30,10,1.515995e+07
14,30,20,5.595054e+06
14,30,30,3.903072e+05
14,30,40,2.757679e+05
14,30,50,2.665367e+05
14,30,60,2.665367e+05
14,30,70,2.665367e+05
14,30,80,5.577346e+04
14,30,90,2.527033e+04
14,30,100,1.853027e+04
